date,B2_Blue,B3_Green,B4_Red,B8_NIR
2016-02-05,0.20398600247700513,0.2185305918574811,0.23200837329235724,0.2616252757948469
2016-06-04,0.22173018814517095,0.2552993847924685,0.2747716344377042,0.3352257367773169
2016-10-22,0.19008786925852544,0.21751754516960545,0.2333010178854052,0.29562125240153825
2016-11-21,0.18371891890112782,0.2070007093412426,0.22248764412755162,0.26957160396885044
2016-11-21,0.15095944313468093,0.18428458793226515,0.2075343444165354,0.26462256463111555
2016-12-21,0.18940570275376375,0.20669566956716368,0.21795855427170535,0.25707535925505554
2017-02-09,0.2052723263816073,0.22262707618435934,0.2313038682278507,0.2756902907800684
2017-04-10,0.21473431037417454,0.24395855718693493,0.26116516638909304,0.3287226708019047
2017-04-30,0.20196853677092216,0.24670534079506787,0.27146245249821116,0.3435282883557258
2017-10-02,0.20403281890498326,0.2250075797856086,0.23586382312642432,0.3124791841306176
2017-10-02,0.20424057529709497,0.2251471497045746,0.23591658304972543,0.313151485309593
2017-10-07,0.1941562167275889,0.2186782854875158,0.23078408782929172,0.304635721533486
2017-10-22,0.19845854778296784,0.22050579397224532,0.2350482338879483,0.2989972829117693
2017-11-01,0.2287875352296121,0.23884355785931888,0.2445957174333568,0.2870133496836976
2017-11-21,0.23063684775259302,0.23535624183618098,0.23961788107931226,0.284148542055952
2017-12-01,0.21134943148316557,0.2243865475309417,0.233299581711541,0.27354942800369775
2018-01-10,0.19291505913684753,0.20692480587860795,0.21823127956959928,0.2624722549114571
2018-01-10,0.19451762792451627,0.20700576707689902,0.2172389904465097,0.26132060258740775
2018-01-15,0.18396482192177593,0.2027117061523575,0.2142910209981186,0.25650632200500123
2018-03-11,0.2051984417626419,0.223872829305771,0.24072274302437213,0.2870410552755784
2018-03-11,0.20918672470168284,0.22570292679669846,0.24108800806108088,0.2861296985746407
2018-03-26,0.19966441087437162,0.2301295814012101,0.2503771161042,0.3093551116674083
2018-03-31,0.21065028197795532,0.22980880248941862,0.2474765943721019,0.2987417157161922
2018-05-05,0.20629901117285332,0.23824658621886255,0.2573996998253684,0.32540876524970846
2018-05-10,0.2078030709595151,0.23488652326870602,0.25614187878098243,0.3335255892290723
2018-05-25,0.21787479276007388,0.24629808854963586,0.2656372477973558,0.3319981317138445
2018-06-04,0.1699907822313922,0.22990313697536457,0.2649828051281716,0.33110498908669633
2018-10-12,0.19074672972340123,0.21497131517301876,0.2267313485947181,0.2986715485794838
2018-10-17,0.19608373282953157,0.21666660547818714,0.22968166818854197,0.29699960240026874
2018-10-17,0.18974926202367742,0.21228504609354504,0.2266504160785269,0.2968155485192982
2018-10-22,0.18601190561050088,0.20959480910416897,0.2228328767393813,0.28700784187417305
2018-11-11,0.2063159382196975,0.2253525970465902,0.2355468886504465,0.2781273180543947
2018-11-11,0.2125506261631534,0.2284678680548179,0.23664438333955595,0.2774019432357736
2018-11-21,0.16936360777557632,0.1957489643881168,0.20943243644563916,0.27287723600478103
2018-11-26,0.18853678032614848,0.20278754547993633,0.2131811140127574,0.2690007013478705
2018-12-01,0.17341751470075176,0.19525383009476377,0.20862596266060832,0.2619666689549657
2018-12-16,0.19326412405337326,0.2042707129429624,0.21126328898108995,0.2608154965153599
2018-12-16,0.18584036333167522,0.19818360766272858,0.2065525807777271,0.25913142749400264
2018-12-21,0.12690839680227506,0.14007564682837104,0.13986107632165704,0.17486356310673215
2018-12-21,0.13380046606061244,0.14550591556554057,0.14395546441021603,0.17956417793810509
2018-12-26,0.09119544415407087,0.0963462267992376,0.10168881557974052,0.11680293347351521
2018-12-26,0.09252736742522202,0.10112321670219798,0.10330879487220485,0.13621847888950447
2018-12-31,0.09539602936294711,0.1161544141751641,0.12296412978979317,0.158968657423821
2018-12-31,0.11611393414025649,0.13001382035225387,0.13190056677710055,0.16411388401711152
2019-01-05,0.13088399012207294,0.13508204500550602,0.13459682691340177,0.15055330384876164
2019-01-05,0.1373071992070576,0.14351913848376086,0.14314671242010168,0.1660858905697959
2019-01-10,0.1554170181712857,0.15812582658520324,0.1617536753054644,0.15924903529402923
2019-01-10,0.147352204525001,0.1571182750114964,0.15497940681655967,0.19403496253929672
2019-01-20,0.07738541454097829,0.1023333360291373,0.11398499305517029,0.15155158104197844
2019-01-20,0.09813210758890745,0.11566668512978892,0.12237330994253237,0.1560092639420868
2019-01-25,0.1307142846261124,0.13338551591574435,0.13236552477428135,0.16882003007388713
2019-01-25,0.1187991989700776,0.125170363115384,0.12724955354665926,0.17077228067832703
2019-01-30,0.2329312464676349,0.22024881975510208,0.2133381405159583,0.2139442611820225
2019-01-30,0.2172112695261626,0.21195542594799066,0.20484116248080445,0.22598709944977413
2019-02-04,0.09935936132016657,0.11136331126849175,0.11760454333865289,0.16353916112851374
2019-02-04,0.11755044137519849,0.12364570017707677,0.12535376097560524,0.16731730593268077
2019-02-09,0.18502098495271235,0.20564781193194184,0.2165556200458725,0.273217602815924
2019-02-09,0.19019225423437136,0.2082218468263024,0.2173192109883475,0.2728330256982211
2019-02-19,0.17079932065741266,0.16924907008870765,0.16815673874180564,0.14959724708265432
2019-02-19,0.1678711468420069,0.1687989997940532,0.16467343106562934,0.16637156785761636
2019-02-24,0.08990478624312452,0.10753592795056534,0.11777711760883448,0.16863697611674472
2019-02-24,0.0977183608697166,0.11273762903418444,0.1210927087281041,0.17145944830686272
2019-03-01,0.09367264639860971,0.11784703234306416,0.12996905408315565,0.18846183569200506
2019-03-01,0.20161824332012726,0.22043406662334591,0.23105868799611795,0.28818941244953605
