B2_Blue,B3_Green,B4_Red,B8_NIR,NDVI,NDWI,Turbidity_Index,date
-0.26989170420523584,-0.26283176155694515,-0.22310232440419434,-0.3418497202661263,-0.6286046119809627,0.2771708997209948,0.6652415770011368,2016-02-05
-0.2083885091578327,-0.1133247278547962,-0.030070773095222315,0.05708709901337326,-0.07669616826959917,-0.21510498186658805,0.9264628403123863,2016-06-04
-0.31806408101171224,-0.26695095049996764,-0.21726738140863777,-0.15758121712449596,0.1874817224649542,-0.3971297370832065,0.8600664174942712,2016-10-22
-0.340139526084461,-0.30971386989770655,-0.2660784929903211,-0.29877821168626717,-0.12493171541907337,-0.1713329975113803,0.9004014357751224,2016-11-21
-0.3204285411442746,-0.31095420410895913,-0.28652261295395687,-0.3665116477614428,-0.3132248186364449,0.07334565741788944,0.536678602192984,2016-12-21
-0.26543317162006225,-0.2461748856730452,-0.22628243045467808,-0.2656130735600787,-0.2397988391193867,0.0965118816589433,0.2590304441193251,2017-02-09
-0.23263694992168896,-0.15943811259464138,-0.0914897941173168,0.021838509246882912,0.14092568245617723,-0.3518387252256438,0.8237228531443953,2017-04-10
-0.27688445040070014,-0.14826930783676567,-0.045008280344093904,0.10208944647670382,0.17840803344163242,-0.5248935316244473,1.3573455199452014,2017-04-30
-0.26972943359134566,-0.2364954264433298,-0.20569898699420663,-0.06620611466105211,0.49649829401309126,-0.5108598071842768,0.4249825522066642,2017-10-02
-0.3039627650883035,-0.2622312186845634,-0.2286286971795849,-0.10872006061830182,0.47124545981684607,-0.5272062193872481,0.5522252043146436,2017-10-07
-0.28905043769239513,-0.25480031462686104,-0.20938052230553,-0.13928210791289872,0.21457246009468178,-0.38505719631936647,0.7417559664008295,2017-10-22
-0.18392700935340256,-0.18023641234335838,-0.16628358557745682,-0.20423866036714883,-0.34927187047886743,0.2571865894994522,-0.007443481570352273,2017-11-01
-0.177517099598651,-0.1944163250514852,-0.18875332824552668,-0.21976678651750942,-0.27547689286682003,0.23215717427847843,-0.11438595397074058,2017-11-21
-0.2443692925909304,-0.23902063009613317,-0.2172738642366897,-0.2772171990657961,-0.3546221745946945,0.18019921199123096,0.272401878452796,2017-12-01
-0.30826474652692665,-0.31002250394958614,-0.2852915424994668,-0.33725883659140127,-0.17649564695616526,-0.03145833215644981,0.5393684012547023,2018-01-10
-0.33928720061151446,-0.3271535542910199,-0.3030777029615099,-0.36959600222822075,-0.20988771892198724,-0.018568379846988683,0.5837757880311377,2018-01-15
-0.26568926340225035,-0.24110947995693247,-0.18376602817708115,-0.20408848765690185,-0.23676261615731373,-0.0886773508358784,0.9084488762917435,2018-03-11
-0.28487079066333343,-0.21566865441629568,-0.14018659661360355,-0.08313953484667087,0.011686456667640907,-0.33932953379032,1.136027737801068,2018-03-26
